schema,table,column,position,data_type,nullable,default,comment
payroll,pay_periods,pay_month,4,integer,NO,,
payroll,pay_periods,pay_year,5,integer,NO,,
payroll,pay_periods,period_seq_in_year,6,integer,NO,,
payroll,pay_periods,status,7,character varying(20),NO,'ouverte'::character varying,
payroll,pay_periods,created_at,8,timestamp with time zone,NO,CURRENT_TIMESTAMP,
payroll,pay_periods,closed_at,9,timestamp with time zone,YES,,
payroll,pay_periods,closed_by,10,uuid,YES,,
payroll,payroll_transactions,transaction_id,1,bigint,NO,,
payroll,payroll_transactions,employee_id,2,integer,NO,,
payroll,payroll_transactions,pay_date,3,date,NO,,
payroll,payroll_transactions,pay_day,4,integer,YES,,
payroll,payroll_transactions,pay_month,5,integer,YES,,
payroll,payroll_transactions,pay_year,6,integer,YES,,
payroll,payroll_transactions,period_seq_in_year,7,integer,YES,,
payroll,payroll_transactions,pay_code,8,character varying(50),NO,,
payroll,payroll_transactions,amount_cents,9,bigint,NO,,"Montant en cents (pr̩cision, ̩vite arrondis)"
payroll,payroll_transactions,import_batch_id,10,integer,YES,,
payroll,payroll_transactions,source_file,11,character varying(500),YES,,
payroll,payroll_transactions,source_row_no,12,integer,YES,,
payroll,payroll_transactions,created_at,13,timestamp with time zone,YES,CURRENT_TIMESTAMP,
payroll,payroll_transactions,created_by,14,character varying(100),YES,CURRENT_USER,
payroll,payroll_transactions_2024,transaction_id,1,bigint,NO,,
payroll,payroll_transactions_2024,employee_id,2,integer,NO,,
payroll,payroll_transactions_2024,pay_date,3,date,NO,,
payroll,payroll_transactions_2024,pay_day,4,integer,YES,,
payroll,payroll_transactions_2024,pay_month,5,integer,YES,,
payroll,payroll_transactions_2024,pay_year,6,integer,YES,,
payroll,payroll_transactions_2024,period_seq_in_year,7,integer,YES,,
payroll,payroll_transactions_2024,pay_code,8,character varying(50),NO,,
payroll,payroll_transactions_2024,amount_cents,9,bigint,NO,,
payroll,payroll_transactions_2024,import_batch_id,10,integer,YES,,
payroll,payroll_transactions_2024,source_file,11,character varying(500),YES,,
payroll,payroll_transactions_2024,source_row_no,12,integer,YES,,
payroll,payroll_transactions_2024,created_at,13,timestamp with time zone,YES,CURRENT_TIMESTAMP,
payroll,payroll_transactions_2024,created_by,14,character varying(100),YES,CURRENT_USER,
payroll,payroll_transactions_2025,transaction_id,1,bigint,NO,,
payroll,payroll_transactions_2025,employee_id,2,integer,NO,,
payroll,payroll_transactions_2025,pay_date,3,date,NO,,
payroll,payroll_transactions_2025,pay_day,4,integer,YES,,
payroll,payroll_transactions_2025,pay_month,5,integer,YES,,
payroll,payroll_transactions_2025,pay_year,6,integer,YES,,
payroll,payroll_transactions_2025,period_seq_in_year,7,integer,YES,,
payroll,payroll_transactions_2025,pay_code,8,character varying(50),NO,,
payroll,payroll_transactions_2025,amount_cents,9,bigint,NO,,
payroll,payroll_transactions_2025,import_batch_id,10,integer,YES,,
payroll,payroll_transactions_2025,source_file,11,character varying(500),YES,,
payroll,payroll_transactions_2025,source_row_no,12,integer,YES,,
payroll,payroll_transactions_2025,created_at,13,timestamp with time zone,YES,CURRENT_TIMESTAMP,
